index,text,label
train_01_0_892,The State alleged hacked Sabata Petros Chale thirty-nine death Marikana West December eight two thousand and sixteen allegedly allocation low cost RDP houses Marikana West Extension two,1
train_01_1_2714,Chale allegedly chased group thirty people hacked death pangas axes spears,0
train_01_10_2619,The farmworkers strike resumed Tuesday demands met,1
train_01_100_2680,Demonstrators filed permit hold rally Saturday Yuen Long district outskirts Hong Kong dozens masked men chased beat commuters protesters wooden poles metal rods leaving least forty-five people hospital,1
train_01_101_3090,Footage attack included pregnant woman hit protesters punched kneed commuters screaming crying trying shield emerged Sunday night fuelling political unrest demonstrators opposition lawmakers others demanded answers authorities failing stop violence,1
train_01_102_274,Max Chung delivered application letter objection police required hold rally said want show public international community Hong Kongers never surrender front terrorism show solidarity say terrorism stand Chung said Yuen Long terrorist attack choice take back The protests principally controversial bill would allow suspects extradited Hong Kong mainland China taken new demands including investigation police use rubber bullets teargas physical violence protesters,0
train_01_103_2840,Protesters angry police slow response attack Yuen Long pursuit case,1
train_01_104_2950,The violence Yuen Long heightened tensions fears attacks,1
train_01_105_3071,Tuesday evening unverified footage showed men white gathering Tuen Mun another city near Yuen Long New Territories,0
train_01_106_430,Hong Kong leader Carrie Lam said shocking violence Yuen Long would investigated devoted comments criticising protesters surrounded Beijing liaison office Hong Kong defaced national emblem People Republic China Sunday,0
train_01_107_3187,Tuesday group aviation staff called protest Hong Kong airport Friday condemn government police ignoring random attacks citizens Yuen Long,1
train_01_108_2227,Yuen Long Chung protesters demanding government conducts independent investigation officially characterises violence cross-border terrorist attack,0
train_01_109_2504,Hailey Leung university student attending protests summer said The fear gangs definitely stronger fear use violence police Her parents supportive protests since violence Yuen Long asked attend,1
train_01_11_1696,National Highways Authority India Case Cops Fail Produce Accused Court,0
train_01_11_3048,10th September two thousand and fifteen KOCHI Anoop George main accused case related attack office National Highway Authority India National Highways Authority India Kalamassery could produced Ernakulam District Principal Sessions Court Wednesday jail authorities Coimbatore failed arrange escort,1
train_01_110_585,Suddenly motley group slogan-shouting students emerged dhaba,0
train_01_111_2444,They exhorted join protest recommendations Mandal Commission implemented day earlier,0
train_01_112_916,Thus joined sloganeering,0
train_01_113_1930,time self-styled leaders commandeered DTC buses nearly two hundred postgraduate doctoral students gathered intersection later became epicentre protests rechristened euphemistically Kranti Chowk,0
train_01_114_700,Some hotheads tried gatecrash provoking policemen action charged ferociously dispersing crowd within minutes,1
train_01_115_751,That night Doordarshan telecast news protests,0
train_01_116_2822,Jammu Delhi court blast accused killed Kishtwar August seven two thousand and twelve IST two thousand and eleven Delhi High Court blast accused Amir Ali Kamal among two Hizb Mujahideen militants killed Monday shootout security forces mountainous Kishtwar district Jammu Kashmir police said,1
train_01_117_510,closed hideout militants fire fight began continued hour said,0
train_01_118_925,According reports two militants shot dead encounter,0
train_01_119_2743,One Amir Ali Kamal code name Akram prime accused Delhi High Court blast officer said,0
train_01_12_692,January year group persons attacked National Highways Authority India office Kalamassery distributed notices supporting armed revolt government,0
train_01_120_1954,Akram radar National Investigation Agency NIA believed arranged explosives planter blast,1
train_01_121_2530,accused Delhi High Court blast Sep seven two thousand and eleven least ten people killed seventy injured,1
train_01_122_1324,The NIA wanted catch Akram alive could provide clues resolving blast case,1
train_01_123_933,The Kishtwar area focus ever since Delhi High Court blast first mails claiming responsibility blast emanated,0
train_01_124_1264,Two youths arrested later allegedly involved blast,1
train_01_125_656,Modi visited homes six victims serial blasts rocked Patna Gandhi Maidan parts city visit address Hunkar Rally October twenty-seven,0
